PossessionID,Notes,Side,HeightSortedLineup,IncompleteResult,Duration,2FGA,2FGM,3PA,3PM,FTA,FTM,TOV,ORB,FOUL,PTS,Team_DefPoss,Team_AllowMiddle,Team_AllowPaintTouch,Team_AllowUC3,Team_AllowOBoard,Team_Deflections
1,P1,Defense,MS-SD-SN-SI-AM7-KJ,False,0:15.3,0,0,0,0,0,0,1,0,0,0,True,False,True,False,False,False
2,P1,Defense,MS-SD-SI-KJ-MH,False,0:09.6,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,False
3,P1,Offense,MS-SD-SI-KJ-MH,False,0:08.2,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False
4,P1,Defense,MS-SD-SI-KJ-MH,False,0:13.3,0,0,0,0,2,2,0,0,1,2,True,False,False,False,False,False
5,P1,Defense,MS-SD-SI-AM7-MH,False,0:15.9,0,0,1,0,0,0,0,0,0,0,True,True,True,True,False,False
6,P1,Defense,SD-SI-AM7-KJ-MH,False,0:06.3,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,True
7,P1,Defense,SD-SI-AM7-KJ-MH,False,0:15.5,0,0,1,0,0,0,0,0,0,0,True,True,False,False,False,False
8,P1,Offense,SD-SI-AM7-KJ-MH,False,0:17.0,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False
9,P1,Offense,SD-SI-AM7-KJ-MH,False,0:21.0,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
10,P1,Defense,MS-SD-AM7-KJ-MH,False,0:21.3,0,0,1,0,0,0,0,0,0,0,True,False,True,True,False,False
11,P1,Defense,MS-SI-AM7-KJ-MH,False,0:10.9,1,1,0,0,0,0,0,0,0,2,True,True,True,False,False,False
12,P1,Defense,MS-SI-AM7-KJ-MH,False,0:07.3,1,1,0,0,0,0,0,0,0,2,True,False,False,False,False,False
13,P1,Defense,MS-SI-AM7-KJ-MH,False,0:06.6,1,1,0,0,0,0,0,0,0,2,True,False,False,False,False,False
14,P1,Defense,MS-SI-AM7-KJ-MH,False,0:09.1,0,0,0,0,0,0,1,0,0,0,True,True,False,False,False,True
15,P1,Defense,MS-SD-SI-AM7-MH,False,0:13.8,0,0,0,0,0,0,1,0,0,0,True,False,True,False,False,False
